Data;Preço do Petróleo
21/01/2025;83,18
20/01/2025;83,39
17/01/2025;83,27
16/01/2025;82,44
15/01/2025;82,69
14/01/2025;83,60
13/01/2025;84,81
10/01/2025;83,55
09/01/2025;88,23
08/01/2025;88,44
07/01/2025;89,95
06/01/2025;88,10
03/01/2025;89,02
02/01/2025;88,29
31/12/2024;87,30
30/12/2024;87,96
27/12/2024;88,34
26/12/2024;89,54
24/12/2024;91,29
23/12/2024;90,84
20/12/2024;93,12
19/12/2024;91,49
16/12/2024;91,57
13/12/2024;92,13
12/12/2024;91,73
11/12/2024;92,81
10/12/2024;90,32
09/12/2024;90,60
06/12/2024;87,63
05/12/2024;86,17
04/12/2024;84,94
03/12/2024;85,91
02/12/2024;86,18
29/11/2024;84,87
28/11/2024;84,92
27/11/2024;85,77
26/11/2024;87,36
25/11/2024;86,47
22/11/2024;85,39
21/11/2024;86,16
20/11/2024;83,95
19/11/2024;83,66
18/11/2024;83,44
15/11/2024;84,29
14/11/2024;84,88
13/11/2024;86,59
12/11/2024;85,82
11/11/2024;86,58
08/11/2024;84,82
07/11/2024;84,57
06/11/2024;84,08
05/11/2024;83,80
04/11/2024;84,01
01/11/2024;84,18
31/10/2024;85,84
30/10/2024;84,77
29/10/2024;84,78
28/10/2024;85,52
25/10/2024;84,88
24/10/2024;84,33
23/10/2024;84,41
22/10/2024;84,72
21/10/2024;83,88
18/10/2024;83,58
17/10/2024;83,01
16/10/2024;81,18
15/10/2024;80,46
12/10/2024;79,30
11/10/2024;79,54
10/10/2024;82,20
09/10/2024;82,98
08/10/2024;84,14
07/10/2024;83,99
04/10/2024;83,34
03/10/2024;82,33
02/10/2024;82,15
01/10/2024;82,04
30/09/2024;81,70
27/09/2024;80,71
26/09/2024;81,04
25/09/2024;78,88
24/09/2024;80,15
23/09/2024;79,76
20/09/2024;79,89
19/09/2024;80,21
18/09/2024;78,46
17/09/2024;77,97
16/09/2024;75,47
13/09/2024;78,31
12/09/2024;75,79
11/09/2024;77,18
10/09/2024;76,24
09/09/2024;77,69
06/09/2024;79,04
05/09/2024;80,97
04/09/2024;80,23
03/09/2024;80,23
02/09/2024;80,73
30/08/2024;81,10
29/08/2024;79,82
28/08/2024;78,89
27/08/2024;76,84
23/08/2024;77,05
22/08/2024;74,14
21/08/2024;74,11
20/08/2024;75,75
19/08/2024;75,94
16/08/2024;74,21
15/08/2024;74,33
14/08/2024;77,27
13/08/2024;78,16
12/08/2024;78,72
09/08/2024;81,72
08/08/2024;82,98
07/08/2024;81,66
06/08/2024;79,49
05/08/2024;79,82
02/08/2024;80,85
01/08/2024;81,76
31/07/2024;82,42
30/07/2024;83,25
29/07/2024;81,22
26/07/2024;77,73
25/07/2024;82,40
24/07/2024;84,20
23/07/2024;84,09
22/07/2024;83,66
19/07/2024;81,74
18/07/2024;81,46
17/07/2024;83,43
16/07/2024;87,31
15/07/2024;90,73
12/07/2024;90,73
11/07/2024;88,45
10/07/2024;90,14
09/07/2024;88,00
08/07/2024;91,88
05/07/2024;93,72
04/07/2024;93,12
03/07/2024;91,99
02/07/2024;92,52
01/07/2024;90,99
28/06/2024;94,33
27/06/2024;88,40
26/06/2024;87,58
25/06/2024;90,70
24/06/2024;91,37
21/06/2024;87,86
20/06/2024;88,28
19/06/2024;89,83
18/06/2024;94,46
17/06/2024;91,21
14/06/2024;95,86
13/06/2024;96,55
12/06/2024;97,10
11/06/2024;94,46
10/06/2024;94,01
07/06/2024;93,99
06/06/2024;93,70
05/06/2024;94,56
04/06/2024;96,11
03/06/2024;95,95
31/05/2024;95,55
30/05/2024;95,20
29/05/2024;93,04
